web_scraper_order,web_scraper_start_url,URL,MARQUE,ANNEE,PRIX,ADRESSE,KILOMETRAGE,BOITE,CARBURANT,PROPRIETAIRE
"1767532782-1,""https://dakar-auto.com/senegal/voitures-4?&page=1998"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/toyota/corolla/annonce-97755"",""Toyota Corolla 2005 Dakar"",""Année: 2005"",""4 400 000 F CFA"",""Grand-Dakar"",""19000 km"",""Manuelle"",""Diesel"",""Sadikh AUTO"""
"1767532785-2,""https://dakar-auto.com/senegal/voitures-4?&page=1998"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/toyota/corolla/annonce-97754"",""Toyota Corolla 2005 Dakar"",""Année: 2005"",""4 400 000 F CFA"",""Grand-Dakar"",""19000 km"",""Manuelle"",""Diesel"",""Sadikh AUTO"""
"1767532788-3,""https://dakar-auto.com/senegal/voitures-4?&page=1998"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/toyota/auris/annonce-97753"",""Toyota Auris 2008 Dakar"",""Année: 2008"",""6 000 000 F CFA"",""Grand-Dakar"",""65000 km"",""Manuelle"",""Diesel"",""Sadikh AUTO"""
"1767532791-4,""https://dakar-auto.com/senegal/voitures-4?&page=1998"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/toyota/auris/annonce-97752"",""Toyota Auris 2008 Dakar"",""Année: 2008"",""6 000 000 F CFA"",""Grand-Dakar"",""65000 km"",""Manuelle"",""Diesel"",""Sadikh AUTO"""
"1767532794-5,""https://dakar-auto.com/senegal/voitures-4?&page=1998"",""https://dakar-auto.com/senegal/voitures/occasion/citadines/volkswagen/golf-city/annonce-97876"",""Volkswagen Golf-City 2009 Dakar"",""Année: 2009"",""5 700 000 F CFA"",""Grand-Dakar"",""70000 km"",""Manuelle"",""Essence"",""Sadikh AUTO"""
"1767532796-6,""https://dakar-auto.com/senegal/voitures-4?&page=1998"",""https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/volkswagen/golf-city/annonce-97875"",""Volkswagen Golf-City 2009 Dakar"",""Année: 2009"",""5 700 000 F CFA"",""Grand-Dakar"",""70000 km"",""Manuelle"",""Essence"",""Sadikh AUTO"""
"1767532799-7,""https://dakar-auto.com/senegal/voitures-4?&page=1998"",""https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/volkswagen/golf-city/annonce-97874"",""Volkswagen Golf-City 2009 Dakar"",""Année: 2009"",""5 700 000 F CFA"",""Grand-Dakar"",""70000 km"",""Manuelle"",""Essence"",""Sadikh AUTO"""
"1767532802-8,""https://dakar-auto.com/senegal/voitures-4?&page=1998"",""https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/volkswagen/golf-city/annonce-97854"",""Volkswagen Golf-City 2009 Dakar"",""Année: 2009"",""6 000 000 F CFA"",""Grand-Dakar"",""70000 km"",""Manuelle"",""Essence"",""Sadikh AUTO"""
"1767532805-9,""https://dakar-auto.com/senegal/voitures-4?&page=1998"",""https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/volkswagen/golf-city/annonce-97853"",""Volkswagen Golf-City 2009 Dakar"",""Année: 2009"",""6 000 000 F CFA"",""Grand-Dakar"",""70000 km"",""Manuelle"",""Essence"",""Sadikh AUTO"""
"1767532808-10,""https://dakar-auto.com/senegal/voitures-4?&page=1998"",""https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/volkswagen/golf-city/annonce-97852"",""Volkswagen Golf-City 2009 Dakar"",""Année: 2009"",""6 000 000 F CFA"",""Grand-Dakar"",""70000 km"",""Manuelle"",""Essence"",""Sadikh AUTO"""
"1767532811-11,""https://dakar-auto.com/senegal/voitures-4?&page=1998"",""https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/volkswagen/golf-city/annonce-97844"",""Volkswagen Golf-City 2008 Dakar"",""Année: 2008"",""6 000 000 F CFA"",""Grand-Dakar"",""70000 km"",""Manuelle"",""Essence"",""Sadikh AUTO"""
"1767532814-12,""https://dakar-auto.com/senegal/voitures-4?&page=1998"",""https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/volkswagen/golf-city/annonce-97843"",""Volkswagen Golf-City 2008 Dakar"",""Année: 2008"",""6 000 000 F CFA"",""Grand-Dakar"",""70000 km"",""Manuelle"",""Essence"",""Sadikh AUTO"""
"1767532816-13,""https://dakar-auto.com/senegal/voitures-4?&page=1998"",""https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/volkswagen/golf-city/annonce-97842"",""Volkswagen Golf-City 2008 Dakar"",""Année: 2008"",""6 000 000 F CFA"",""Grand-Dakar"",""70000 km"",""Manuelle"",""Essence"",""Sadikh AUTO"""
"1767532819-14,""https://dakar-auto.com/senegal/voitures-4?&page=1998"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/ranger/annonce-97888"",""Ford Ranger 2009 Dakar"",""Manuelle"",""6 900 000 F CFA"",""Grand-Dakar"",""Année: 2009"",""Diesel"","""",""Sadikh AUTO"""
"1767532822-15,""https://dakar-auto.com/senegal/voitures-4?&page=1998"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/ranger/annonce-97887"",""Ford Ranger 2009 Dakar"",""Manuelle"",""6 900 000 F CFA"",""Grand-Dakar"",""Année: 2009"",""Diesel"","""",""Sadikh AUTO"""
"1767532825-16,""https://dakar-auto.com/senegal/voitures-4?&page=1998"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/ranger/annonce-97886"",""Ford Ranger 2009 Dakar"",""Manuelle"",""6 900 000 F CFA"",""Grand-Dakar"",""Année: 2009"",""Diesel"","""",""Sadikh AUTO"""
"1767532828-17,""https://dakar-auto.com/senegal/voitures-4?&page=1998"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/ranger/annonce-97885"",""Ford Ranger 2009 Dakar"",""Manuelle"",""6 900 000 F CFA"",""Grand-Dakar"",""Année: 2009"",""Diesel"","""",""Sadikh AUTO"""
"1767532830-18,""https://dakar-auto.com/senegal/voitures-4?&page=1998"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/hyundai/tucson/annonce-97884"",""Hyundai Tucson 2010 Dakar"",""Année: 2010"",""6 400 000 F CFA"",""Grand-Dakar"",""70000 km"",""Manuelle"",""Essence"",""Sadikh AUTO"""
"1767532833-19,""https://dakar-auto.com/senegal/voitures-4?&page=1998"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/toyota/rav4/annonce-97883"",""Toyota RAV4 2007 Dakar"",""Manuelle"",""8 200 000 F CFA"",""Grand-Dakar"",""Année: 2007"",""Diesel"","""",""Sadikh AUTO"""
"1767532836-20,""https://dakar-auto.com/senegal/voitures-4?&page=1998"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/toyota/rav4/annonce-97882"",""Toyota RAV4 2007 Dakar"",""Manuelle"",""8 200 000 F CFA"",""Grand-Dakar"",""Année: 2007"",""Diesel"","""",""Sadikh AUTO"""
"1767532841-21,""https://dakar-auto.com/senegal/voitures-4?&page=1997"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/hyundai/tucson/annonce-97881"",""Hyundai Tucson 2010 Dakar"",""Année: 2010"",""6 500 000 F CFA"",""Grand-Dakar"",""70000 km"",""Manuelle"",""Essence"",""Sadikh AUTO"""
"1767532844-22,""https://dakar-auto.com/senegal/voitures-4?&page=1997"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/hyundai/tucson/annonce-97880"",""Hyundai Tucson 2010 Dakar"",""Année: 2010"",""6 500 000 F CFA"",""Grand-Dakar"",""70000 km"",""Manuelle"",""Essence"",""Sadikh AUTO"""
"1767532847-23,""https://dakar-auto.com/senegal/voitures-4?&page=1997"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/hyundai/tucson/annonce-97879"",""Hyundai Tucson 2010 Dakar"",""Année: 2010"",""6 500 000 F CFA"",""Grand-Dakar"",""70000 km"",""Manuelle"",""Essence"",""Sadikh AUTO"""
"1767532850-24,""https://dakar-auto.com/senegal/voitures-4?&page=1997"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/audi/a6-allroad/annonce-97878"",""Audi A6 Allroad 2009 Dakar"",""Année: 2009"",""8 900 000 F CFA"",""Grand-Dakar"",""100000 km"",""Manuelle"",""Diesel"",""Sadikh AUTO"""
"1767532853-25,""https://dakar-auto.com/senegal/voitures-4?&page=1997"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/audi/a6-allroad/annonce-97877"",""Audi A6 Allroad 2009 Dakar"",""Année: 2009"",""8 900 000 F CFA"",""Grand-Dakar"",""100000 km"",""Manuelle"",""Diesel"",""Sadikh AUTO"""
"1767532856-26,""https://dakar-auto.com/senegal/voitures-4?&page=1997"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/audi/a6-allroad/annonce-97873"",""Audi A6 Allroad 2009 Dakar"",""Année: 2009"",""8 900 000 F CFA"",""Grand-Dakar"",""100000 km"",""Manuelle"",""Diesel"",""Sadikh AUTO"""
"1767532858-27,""https://dakar-auto.com/senegal/voitures-4?&page=1997"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/land-rover/range-rover/annonce-97872"",""Land Rover Range Rover 2007 Dakar"",""Année: 2007"",""10 900 000 F CFA"",""Grand-Dakar"",""98000 km"",""Manuelle"",""Essence"",""Sadikh AUTO"""
"1767532861-28,""https://dakar-auto.com/senegal/voitures-4?&page=1997"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/land-rover/range-rover/annonce-97871"",""Land Rover Range Rover 2007 Dakar"",""Année: 2007"",""10 900 000 F CFA"",""Grand-Dakar"",""98000 km"",""Manuelle"",""Essence"",""Sadikh AUTO"""
"1767532864-29,""https://dakar-auto.com/senegal/voitures-4?&page=1997"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/ranger/annonce-97870"",""Ford Ranger 2009 Dakar"",""Manuelle"",""6 900 000 F CFA"",""Grand-Dakar"",""Année: 2009"",""Diesel"","""",""Sadikh AUTO"""
"1767532867-30,""https://dakar-auto.com/senegal/voitures-4?&page=1997"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/ranger/annonce-97869"",""Ford Ranger 2009 Dakar"",""Manuelle"",""6 900 000 F CFA"",""Grand-Dakar"",""Année: 2009"",""Diesel"","""",""Sadikh AUTO"""
"1767532870-31,""https://dakar-auto.com/senegal/voitures-4?&page=1997"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/mitsubishi/l200/annonce-97868"",""Mitsubishi L200 2010 Dakar"",""Année: 2010"",""8 900 000 F CFA"",""Grand-Dakar"",""70000 km"",""Manuelle"",""Diesel"",""Sadikh AUTO"""
"1767532873-32,""https://dakar-auto.com/senegal/voitures-4?&page=1997"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/mitsubishi/l200/annonce-97867"",""Mitsubishi L200 2010 Dakar"",""Année: 2010"",""8 900 000 F CFA"",""Grand-Dakar"",""70000 km"",""Manuelle"",""Diesel"",""Sadikh AUTO"""
"1767532875-33,""https://dakar-auto.com/senegal/voitures-4?&page=1997"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/audi/a4/annonce-97866"",""Audi A4 2011 Dakar"",""Année: 2011"",""10 900 000 F CFA"",""Grand-Dakar"",""55000 km"",""Manuelle"",""Diesel"",""Sadikh AUTO"""
"1767532878-34,""https://dakar-auto.com/senegal/voitures-4?&page=1997"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/audi/a4/annonce-97865"",""Audi A4 2011 Dakar"",""Année: 2011"",""10 900 000 F CFA"",""Grand-Dakar"",""55000 km"",""Manuelle"",""Diesel"",""Sadikh AUTO"""
"1767532881-35,""https://dakar-auto.com/senegal/voitures-4?&page=1997"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/audi/a4/annonce-97864"",""Audi A4 2011 Dakar"",""Année: 2011"",""10 900 000 F CFA"",""Grand-Dakar"",""55000 km"",""Manuelle"",""Essence"",""Sadikh AUTO"""
"1767532884-36,""https://dakar-auto.com/senegal/voitures-4?&page=1997"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/escape/annonce-97863"",""Ford Escape 2007 Dakar"",""Année: 2007"",""6 900 000 F CFA"",""Grand-Dakar"",""100000 km"",""Manuelle"",""Essence"",""Sadikh AUTO"""
"1767532887-37,""https://dakar-auto.com/senegal/voitures-4?&page=1997"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/escape/annonce-97862"",""Ford Escape 2007 Dakar"",""Année: 2007"",""6 900 000 F CFA"",""Grand-Dakar"",""100000 km"",""Manuelle"",""Essence"",""Sadikh AUTO"""
"1767532890-38,""https://dakar-auto.com/senegal/voitures-4?&page=1997"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/escape/annonce-97861"",""Ford Escape 2007 Dakar"",""Année: 2007"",""6 900 000 F CFA"",""Grand-Dakar"",""100000 km"",""Manuelle"",""Essence"",""Sadikh AUTO"""
"1767532893-39,""https://dakar-auto.com/senegal/voitures-4?&page=1997"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/escape/annonce-97860"",""Ford Escape 2007 Dakar"",""Année: 2007"",""6 900 000 F CFA"",""Grand-Dakar"",""100000 km"",""Manuelle"",""Essence"",""Sadikh AUTO"""
"1767532896-40,""https://dakar-auto.com/senegal/voitures-4?&page=1997"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/jeep/compass/annonce-97859"",""Jeep Compass 2008 Dakar"",""Manuelle"",""7 300 000 F CFA"",""Grand-Dakar"",""Année: 2008"",""Essence"","""",""Sadikh AUTO"""
"1767532901-41,""https://dakar-auto.com/senegal/voitures-4?&page=1996"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/jeep/compass/annonce-97858"",""Jeep Compass 2008 Dakar"",""Manuelle"",""7 300 000 F CFA"",""Grand-Dakar"",""Année: 2008"",""Essence"","""",""Sadikh AUTO"""
"1767532904-42,""https://dakar-auto.com/senegal/voitures-4?&page=1996"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/jeep/compass/annonce-97857"",""Jeep Compass 2008 Dakar"",""Manuelle"",""7 300 000 F CFA"",""Grand-Dakar"",""Année: 2008"",""Essence"","""",""Sadikh AUTO"""
"1767532906-43,""https://dakar-auto.com/senegal/voitures-4?&page=1996"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/jeep/compass/annonce-97856"",""Jeep Compass 2008 Dakar"",""Manuelle"",""7 300 000 F CFA"",""Grand-Dakar"",""Année: 2008"",""Essence"","""",""Sadikh AUTO"""
"1767532909-44,""https://dakar-auto.com/senegal/voitures-4?&page=1996"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/hyundai/veracruz/annonce-97855"",""Hyundai VERACRUZ 2010 Dakar"",""Année: 2010"",""10 300 000 F CFA"",""Grand-Dakar"",""88000 km"",""Manuelle"",""Essence"",""Sadikh AUTO"""
"1767532912-45,""https://dakar-auto.com/senegal/voitures-4?&page=1996"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/audi/a4/annonce-97851"",""Audi A4 2011 Dakar"",""Année: 2011"",""11 500 000 F CFA"",""Grand-Dakar"",""55000 km"",""Manuelle"",""Diesel"",""Sadikh AUTO"""
"1767532915-46,""https://dakar-auto.com/senegal/voitures-4?&page=1996"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/audi/a4/annonce-97850"",""Audi A4 2011 Dakar"",""Année: 2011"",""11 500 000 F CFA"",""Grand-Dakar"",""55000 km"",""Manuelle"",""Diesel"",""Sadikh AUTO"""
"1767532918-47,""https://dakar-auto.com/senegal/voitures-4?&page=1996"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/audi/a4/annonce-97849"",""Audi A4 2011 Dakar"",""Année: 2011"",""11 500 000 F CFA"",""Grand-Dakar"",""55000 km"",""Manuelle"",""Diesel"",""Sadikh AUTO"""
"1767532921-48,""https://dakar-auto.com/senegal/voitures-4?&page=1996"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/audi/a4/annonce-97848"",""Audi A4 2011 Dakar"",""Année: 2011"",""11 500 000 F CFA"",""Grand-Dakar"",""55000 km"",""Manuelle"",""Diesel"",""Sadikh AUTO"""
"1767532924-49,""https://dakar-auto.com/senegal/voitures-4?&page=1996"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/audi/a4/annonce-97847"",""Audi A4 2011 Dakar"",""Année: 2011"",""11 500 000 F CFA"",""Grand-Dakar"",""55000 km"",""Manuelle"",""Diesel"",""Sadikh AUTO"""
"1767532927-50,""https://dakar-auto.com/senegal/voitures-4?&page=1996"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/ranger/annonce-97846"",""Ford Ranger 2009 Dakar"",""Manuelle"",""6 900 000 F CFA"",""Grand-Dakar"",""Année: 2009"",""Diesel"","""",""Sadikh AUTO"""
"1767532929-51,""https://dakar-auto.com/senegal/voitures-4?&page=1996"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/ranger/annonce-97845"",""Ford Ranger 2009 Dakar"",""Manuelle"",""6 900 000 F CFA"",""Grand-Dakar"",""Année: 2009"",""Diesel"","""",""Sadikh AUTO"""
"1767532932-52,""https://dakar-auto.com/senegal/voitures-4?&page=1996"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/mitsubishi/l200/annonce-97841"",""Mitsubishi L200 2010 Dakar"",""Année: 2010"",""9 200 000 F CFA"",""Grand-Dakar"",""70000 km"",""Manuelle"",""Diesel"",""Sadikh AUTO"""
"1767532935-53,""https://dakar-auto.com/senegal/voitures-4?&page=1996"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/mitsubishi/l200/annonce-97840"",""Mitsubishi L200 2010 Dakar"",""Année: 2010"",""9 200 000 F CFA"",""Grand-Dakar"",""70000 km"",""Manuelle"",""Diesel"",""Sadikh AUTO"""
"1767532938-54,""https://dakar-auto.com/senegal/voitures-4?&page=1996"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/land-rover/range-rover/annonce-97839"",""Land Rover Range Rover 2007 Dakar"",""Année: 2007"",""11 500 000 F CFA"",""Grand-Dakar"",""98000 km"",""Manuelle"",""Essence"",""Sadikh AUTO"""
"1767532941-55,""https://dakar-auto.com/senegal/voitures-4?&page=1996"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/land-rover/range-rover/annonce-97838"",""Land Rover Range Rover 2007 Dakar"",""Année: 2007"",""11 500 000 F CFA"",""Grand-Dakar"",""98000 km"",""Manuelle"",""Essence"",""Sadikh AUTO"""
"1767532944-56,""https://dakar-auto.com/senegal/voitures-4?&page=1996"",""https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/jeep/compass/annonce-97837"",""Jeep Compass 2008 Dakar"",""Manuelle"",""7 400 000 F CFA"",""Grand-Dakar"",""Année: 2008"",""Essence"","""",""Sadikh AUTO"""
